id,name,village,block,phone
"000003e9-0000-4000-a000-f00f0000000003e9","Suresh Mhaske","Ralegan Siddhi","Parner","+917540243603"
"000003ea-0000-4000-a000-f00f0000000003ea","Sunil Pawar","Hiware Bazar","Parner","+919987372106"
"000003eb-0000-4000-a000-f00f0000000003eb","Eknath Pawar","Takali Dhokeshwar","Parner","+917518700497"
"000003ec-0000-4000-a000-f00f0000000003ec","Eknath Pardhi","Ralegan Siddhi","Parner","+917385701785"
"000003ed-0000-4000-a000-f00f0000000003ed","Tukaram Darade","Hiware Bazar","Parner","+917481152553"
"000003ee-0000-4000-a000-f00f0000000003ee","Namdev Ghule","Takali Dhokeshwar","Parner","+917714334694"
"000003ef-0000-4000-a000-f00f0000000003ef","Ganesh Kale","Ralegan Siddhi","Parner","+918943332717"
"000003f0-0000-4000-a000-f00f0000000003f0","Kisan Darade","Takali Dhokeshwar","Parner","+918784413847"
"000003f1-0000-4000-a000-f00f0000000003f1","Suresh Autade","Ralegan Siddhi","Parner","+917407677871"
"000003f2-0000-4000-a000-f00f0000000003f2","Shankar Bankar","Takali Dhokeshwar","Parner","+919460436352"
"000003f3-0000-4000-a000-f00f0000000003f3","Ramesh Jadhav","Takali Dhokeshwar","Parner","+919764685448"
"000003f4-0000-4000-a000-f00f0000000003f4","Tukaram Kale","Ralegan Siddhi","Parner","+917438332508"
"000003f5-0000-4000-a000-f00f0000000003f5","Namdev Autade","Ralegan Siddhi","Parner","+919178080023"
"000003f6-0000-4000-a000-f00f0000000003f6","Ganesh Pawar","Hiware Bazar","Parner","+917531845424"
"000003f7-0000-4000-a000-f00f0000000003f7","Bhausaheb Ghule","Ralegan Siddhi","Parner","+918354174812"
"000003f8-0000-4000-a000-f00f0000000003f8","Prakash Kharat","Ralegan Siddhi","Parner","+919322734643"
"000003f9-0000-4000-a000-f00f0000000003f9","Sanjay Bankar","Kolhewadi","Sangamner","+919571713002"
"000003fa-0000-4000-a000-f00f0000000003fa","Shankar Gaikwad","Shani Shingnapur","Nevasa","+917565462612"
"000003fb-0000-4000-a000-f00f0000000003fb","Vijay Ghule","Kolhewadi","Sangamner","+918947911102"
"000003fc-0000-4000-a000-f00f0000000003fc","Baban Gholap","Ralegan Siddhi","Parner","+917640451237"
"000003fd-0000-4000-a000-f00f0000000003fd","Baban Gawade","Takali Dhokeshwar","Parner","+919048641229"
"000003fe-0000-4000-a000-f00f0000000003fe","Ashok Pardhi","Shani Shingnapur","Nevasa","+918024008979"
"000003ff-0000-4000-a000-f00f0000000003ff","Ramesh Pardhi","Hiware Bazar","Parner","+918411228019"
"00000400-0000-4000-a000-f00f000000000400","Popat Shinde","Hiware Bazar","Parner","+918135858505"
"00000401-0000-4000-a000-f00f000000000401","Ashok Pardhi","Ralegan Siddhi","Parner","+919797206839"
"00000402-0000-4000-a000-f00f000000000402","Bhausaheb Kharat","Hiware Bazar","Parner","+918299964290"
"00000403-0000-4000-a000-f00f000000000403","Ashok Pardhi","Ralegan Siddhi","Parner","+918511677073"
"00000404-0000-4000-a000-f00f000000000404","Anil Autade","Shani Shingnapur","Nevasa","+918615121995"
"00000405-0000-4000-a000-f00f000000000405","Sunil Ghule","Ralegan Siddhi","Parner","+918772273331"
"00000406-0000-4000-a000-f00f000000000406","Ramesh Kale","Takali Dhokeshwar","Parner","+918997915450"
"000007ee-0000-4000-a000-f00f0000000007ee","Bhausaheb Gawade","Shani Shingnapur","Nevasa","+917322880308"
"000007ef-0000-4000-a000-f00f0000000007ef","Ramesh Gholap","Kolhewadi","Sangamner","+919752015247"
"000007f0-0000-4000-a000-f00f0000000007f0","Prakash Mhaske","Kolhewadi","Sangamner","+917506733963"
