id,farmer_id,farmer_name,animal_id,vaccine_type,village,block,district,date,notes,vet_id,created_at
"0000234c-0000-4000-a000-c0de00000000234c","000003eb-0000-4000-a000-f00f0000000003eb","Eknath Pawar","BUF-5706","FMD","Takali Dhokeshwar","Parner","Ahmednagar","2026-08-19","Foot and Mouth Disease booster","","2026-08-23T16:36:11.487Z"
"00002334-0000-4000-a000-c0de000000002334","000003fc-0000-4000-a000-f00f0000000003fc","Baban Gholap","GOAT-4547","brucellosis","Ralegan Siddhi","Parner","Ahmednagar","2026-08-12","Brucella annual dose","0000138a-0000-4000-a000-beef00000000138a","2026-08-23T16:36:11.487Z"
"00002348-0000-4000-a000-c0de000000002348","000003ee-0000-4000-a000-f00f0000000003ee","Namdev Ghule","BUF-2010","anthrax","Takali Dhokeshwar","Parner","Ahmednagar","2026-08-12","Anthrax booster dose","00001389-0000-4000-a000-beef000000001389","2026-08-23T16:36:11.487Z"
"00002357-0000-4000-a000-c0de000000002357","00000406-0000-4000-a000-f00f000000000406","Ramesh Kale","BUF-3479","brucellosis","Takali Dhokeshwar","Parner","Ahmednagar","2026-08-12","Brucellosis calfhood vaccination","0000138b-0000-4000-a000-beef00000000138b","2026-08-23T16:36:11.488Z"
"00002341-0000-4000-a000-c0de000000002341","000003ec-0000-4000-a000-f00f0000000003ec","Eknath Pardhi","BUF-6476","mastitis","Ralegan Siddhi","Parner","Ahmednagar","2026-08-11","Quarter-wise mastitis vaccine","","2026-08-23T16:36:11.487Z"
"00002338-0000-4000-a000-c0de000000002338","000003ec-0000-4000-a000-f00f0000000003ec","Eknath Pardhi","BOV-2996","anthrax","Ralegan Siddhi","Parner","Ahmednagar","2026-08-09","Anthrax spore vaccine","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.487Z"
"00002349-0000-4000-a000-c0de000000002349","000003f5-0000-4000-a000-f00f0000000003f5","Namdev Autade","BOV-3737","FMD","Ralegan Siddhi","Parner","Ahmednagar","2026-08-07","Foot and Mouth Disease booster","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.487Z"
"0000234f-0000-4000-a000-c0de00000000234f","000007f0-0000-4000-a000-f00f0000000007f0","Prakash Mhaske","BUF-5250","brucellosis","Kolhewadi","Sangamner","Ahmednagar","2026-08-04","Brucella annual dose","0000138a-0000-4000-a000-beef00000000138a","2026-08-23T16:36:11.487Z"
"0000235e-0000-4000-a000-c0de00000000235e","00000401-0000-4000-a000-f00f000000000401","Ashok Pardhi","BOV-1692","FMD","Ralegan Siddhi","Parner","Ahmednagar","2026-08-04","FMD primary dose","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.488Z"
"00002352-0000-4000-a000-c0de000000002352","000007ee-0000-4000-a000-f00f0000000007ee","Bhausaheb Gawade","GOAT-5116","anthrax","Shani Shingnapur","Nevasa","Ahmednagar","2026-07-30","Anthrax annual preventive","00001388-0000-4000-a000-beef000000001388","2026-08-23T16:36:11.488Z"
"0000233a-0000-4000-a000-c0de00000000233a","000003f4-0000-4000-a000-f00f0000000003f4","Tukaram Kale","BUF-5489","mastitis","Ralegan Siddhi","Parner","Ahmednagar","2026-07-16","Mastitis booster","00001388-0000-4000-a000-beef000000001388","2026-08-23T16:36:11.487Z"
"0000232a-0000-4000-a000-c0de00000000232a","00000401-0000-4000-a000-f00f000000000401","Ashok Pardhi","BUF-8380","brucellosis","Ralegan Siddhi","Parner","Ahmednagar","2026-07-10","Brucellosis calfhood vaccination","0000138e-0000-4000-a000-beef00000000138e","2026-08-23T16:36:11.487Z"
"00002361-0000-4000-a000-c0de000000002361","000003f2-0000-4000-a000-f00f0000000003f2","Shankar Bankar","GOAT-3970","FMD","Takali Dhokeshwar","Parner","Ahmednagar","2026-07-10","Annual FMD vaccination","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.488Z"
"0000234a-0000-4000-a000-c0de00000000234a","00000405-0000-4000-a000-f00f000000000405","Sunil Ghule","BOV-6906","FMD","Ralegan Siddhi","Parner","Ahmednagar","2026-07-09","Foot and Mouth Disease booster","0000138d-0000-4000-a000-beef00000000138d","2026-08-23T16:36:11.487Z"
"0000235d-0000-4000-a000-c0de00000000235d","00000400-0000-4000-a000-f00f000000000400","Popat Shinde","GOAT-5618","FMD","Hiware Bazar","Parner","Ahmednagar","2026-07-09","Foot and Mouth Disease booster","","2026-08-23T16:36:11.488Z"
"0000235f-0000-4000-a000-c0de00000000235f","000003fd-0000-4000-a000-f00f0000000003fd","Baban Gawade","BUF-9971","mastitis","Takali Dhokeshwar","Parner","Ahmednagar","2026-07-08","Mastitis booster","0000138e-0000-4000-a000-beef00000000138e","2026-08-23T16:36:11.488Z"
"00002339-0000-4000-a000-c0de000000002339","000003f8-0000-4000-a000-f00f0000000003f8","Prakash Kharat","GOAT-7645","anthrax","Ralegan Siddhi","Parner","Ahmednagar","2026-07-07","Anthrax booster dose","0000138f-0000-4000-a000-beef00000000138f","2026-08-23T16:36:11.487Z"
"00002336-0000-4000-a000-c0de000000002336","000003e9-0000-4000-a000-f00f0000000003e9","Suresh Mhaske","BUF-8192","FMD","Ralegan Siddhi","Parner","Ahmednagar","2026-07-06","FMD primary dose","0000138d-0000-4000-a000-beef00000000138d","2026-08-23T16:36:11.487Z"
